TIC ID,sectors
254113311,"[13, 27, 67]"
255930614,"[24, 25, 51, 52]"
256364928,"[41, 54]"
256722647,"[17, 18, 25, 52, 57, 58]"
257060897,"[14, 15, 16, 20, 21, 22, 26, 40, 41, 47, 48, 49, 53, 56, 60]"
257527578,"[4, 31]"
257567854,[4]
257605131,"[4, 5, 31]"
257605131,"[4, 5, 31]"
257605131,"[4, 5, 31]"
257774438,"[42, 43]"
258510872,"[15, 16, 17, 18, 21, 22, 24, 25, 48, 51, 52]"
258514800,"[15, 16, 17, 18, 19, 22, 24, 25, 26, 49, 52, 58, 59]"
258920431,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54]"
259168516,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
259377017,"[3, 4, 5, 30, 32]"
259377017,"[3, 4, 5, 30, 32]"
259377017,"[3, 4, 5, 30, 32]"
259506033,"[19, 59]"
260004324,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 64, 65, 66, 67, 68]"
260128333,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39]"
260647166,"[10, 11, 37]"
260647166,"[10, 11, 37]"
260647166,"[10, 11, 37]"
260647166,"[10, 11, 37]"
261136679,"[1, 4, 8, 11, 12, 13, 27, 28, 31, 34, 38, 39, 61, 62]"
261257684,"[12, 13, 27, 38, 39]"
261257684,"[12, 13, 27, 38, 39, 61, 65, 66, 67]"
261867566,"[12, 38, 39, 65, 66]"
262530407,"[2, 3, 29, 69]"
262662119,"[42, 70]"
262715204,"[42, 70]"
262715204,[42]
262746281,"[8, 35, 45, 46, 61, 72]"
263003176,"[1, 12, 13, 27, 39]"
263179590,"[33, 71]"
264508014,"[41, 54, 55]"
264678534,"[18, 19, 20, 25, 26, 40, 52, 53, 58, 59, 60]"
266593143,"[15, 55, 56]"
266980320,"[1, 28, 68]"
267263253,"[1, 27, 28, 67, 68]"
267572272,"[26, 40, 41, 53, 54, 55]"
267574918,"[14, 15, 19, 22, 26, 40, 41, 49, 53, 54, 55, 56, 59]"
267650535,"[17, 57]"
268159158,"[41, 54, 55]"
268301217,"[7, 9, 34, 35, 36, 61, 62]"
268403451,"[18, 19, 20, 25, 26, 40, 47, 52, 53, 59, 60, 73, 74]"
268604331,"[14, 15, 41, 54, 55]"
268644785,"[7, 9, 34, 35, 36]"
268766053,"[3, 30]"
268823307,"[14, 15, 41, 54, 55]"
268924036,"[41, 54, 55]"
269217040,[67]
